ar,sveitarfelag,heildarskuldir,eignir,tekjur,gjold,afskriftir,eigid_fe,veltufjarmunir,skammtimaskuldir,veltufe,skuldahlutf,veltufjarhlutf,eignahlutf,rekstrarnidurstada,rekstrarnidurstada_hlutf,framlegd,framlegd_hlutf,mannfjoldi
2010,Kópavogsbær,43745779000,57823925000,17905242000,16222508000,1390797000,14078146000,2195299000,4203789000,1202465000,2.443182784125453,0.5222191218446026,1.3218172432133395,1682734000,0.09397996407979295,3073531000,0.17165537332586736,30327
2010,Seltjarnarnesbær,2011891000,5301626000,2410043000,2446921000,109837000,3289735000,783799000,859197000,121514000,0.8347946488921567,0.9122459692014754,2.635145740996903,-36878000,-0.01530180166909885,72959000,0.03027290384445423,4395
2010,Garðabær,6526698000,15034404000,5770087000,5081763000,372718000,8507706000,2209413000,1092869000,1008676000,1.1311264457537642,2.0216631636545643,2.303523772664217,688324000,0.1192917888413121,1061042000,0.18388665543517801,10618
2010,Hafnarfjarðarkaupstaður,37829835000,46809549000,13623396000,13013834000,878100000,8979714000,2237229000,8384990000,900563000,2.7768285528806476,0.26681355612827207,1.2373712177174445,609562000,0.04474376286206464,1487662000,0.10919905726883371,25909
2010,Mosfellsbær,8074988000,11672228000,4507643000,4301630000,247804000,3597242000,660044000,1291135000,182432000,1.7913991857829026,0.5112122280009449,1.4454792997834796,206013000,0.045703042587889056,453817000,0.10067722754441734,8202
2009,Reykjavíkurborg,306344780000,416519648000,92606676000,82873338000,11986842000,110174868000,33842117000,32887577000,17323737000,3.3080204714398778,1.0290243334131912,1.3596433665362275,9733338000,0.10510406398778421,21720180000,0.23454226993310937,118620
2009,Kópavogsbær,42863908000,53307151000,17765009000,17048821000,1495680000,10443243000,2728627000,5986243000,1238352000,2.412827823504058,0.4558162774214144,1.2436372110541112,716188000,0.0403145306596805,2211868000,0.12450700137556925,29944
2009,Seltjarnarnesbær,2034535000,4986393000,2268530000,2641143000,118462000,2951858000,845489000,817059000,-208685000,0.8968517057301424,1.0347955288418584,2.450875998692576,-372613000,-0.16425306255592828,-254151000,-0.11203334317818146,4403
2009,Garðabær,6450319000,14114219000,5501168000,4876137000,296268000,7663900000,1714801000,1116038000,1019256000,1.1725362686614915,1.536507717479154,2.1881427879768425,625031000,0.11361787169561083,921299000,0.1674733438426167,10334
2009,Hafnarfjarðarkaupstaður,41662995000,48585014000,14161134000,13188303000,787257000,6922019000,2480173000,8581250000,685691000,2.9420662921486374,0.2890223452294246,1.1661430965296662,972831000,0.06869725263527625,1760088000,0.12429004626324418,25843
2009,Mosfellsbær,7459652000,11261564000,4654579000,4287532000,215212000,3801909000,702897000,1238471000,131809000,1.6026480590403558,0.5675522478927646,1.509663453469411,367047000,0.07885718558004924,582259000,0.12509380547628476,8004
2008,Reykjavíkurborg,272244745000,388569189000,89414958000,81301568000,10693901000,116324444000,29135994000,28008771000,15200418000,3.0447338016979217,1.0402453574275001,1.4272789324179609,8113390000,0.090738621160007707,18807291000,0.210337189891651,117859
2008,Kópavogsbær,37441972000,47598919000,16679394000,16105991000,1156112000,10156946000,2370225000,6016387000,1546679000,2.244804097798757,0.39396152541384055,1.2712716894291787,573403000,0.034377927639337495,1729515000,0.10369171685733906,28855
2008,Seltjarnarnesbær,1755750000,5472948000,2397088000,2616856000,121357000,3717198000,1645980000,625885000,33961000,0.7324512074650577,2.629844140696773,3.1171567706108503,-219768000,-0.09168123990441736,-98411000,-0.04105439600048058,4454
2008,Garðabær,4677923000,10128369000,5400207000,4925832000,325850000,5450442000,2263934000,1169300000,1071712000,0.8662488308318551,1.9361447019584366,2.1651423078148144,474375000,0.08784385487445204,800225000,0.14818413442299527,9949
2008,Hafnarfjarðarkaupstaður,36999420000,39547782000,13928635000,14927386000,850996000,2548362000,11803311000,7728331000,585851000,2.6563564915011413,1.5272781406489966,1.0688757283222277,-998751000,-0.0717048727316065,-147755000,-0.010608002866038201,25030
2008,Mosfellsbær,5917940000,8614774000,4650217000,4114747000,183455000,2696835000,586454000,1696007000,500096000,1.272615880076134,0.3457851294245837,1.4557048567575879,535470000,0.11514946506797424,718925000,0.1546003122004844,7661
2007,Reykjavíkurborg,155424309000,314232636000,87243152000,71990685000,9537816000,158808327000,36422052000,21672008000,16463317000,1.7815072637448954,1.6806034770751284,2.021772771722601,15252467000,0.17482709703106555,24790283000,0.2841516202899226,115583
2007,Kópavogsbær,18926402000,36192941000,16759501000,13083746000,871428000,17266539000,4594598000,5341075000,2056427000,1.129293885301239,0.8602384351464827,1.912299073009228,3675755000,0.2193236540873144,4547183000,0.27131971291985363,27499
2007,Seltjarnarnesbær,1526881000,5461974000,2423659000,2270648000,109015000,3935092000,2136849000,393306000,499670000,0.6299900274749872,5.433044499702522,3.5772100117821886,153011000,0.06313223106055761,262026000,0.10811174344245622,4471
2007,Garðabær,3960743000,9450050000,5556126000,4308768000,319591000,5489300000,2468070000,1043926000,1178103000,0.7128605434793955,2.3642193029007803,2.3859285997601964,1247358000,0.22450138819745988,1566949000,0.28202186199521034,9527
