ar,sveitarfelag,hluti,heildarskuldir,eignir,tekjur,gjold,afskriftir,fjarmagnslidir,eigid_fe,veltufjarmunir,skammtimakrofur_eigin_fyrirtaeki,skammtimaskuldir,veltufe,mannfjoldi,nettoskuldir,skuldir_hlutf_tekjur,nettoskuldir_hlutf_tekjur,veltufjarhlutfall,eignahlutf,rekstrarnidurstada,rekstrarnidurstada_hlutf,framlegd,framlegd_hlutf,eiginfjarhlutfall,skuldahlutfall,skuldir_per_ibui,veltufe_hlutf_tekjur
2014,Kópavogsbær,A-hluti,33523587000,49289120000,20960916000,19706955000,1171214000,-1249437000,15765533000,2056425000,63023000,5063477000,1589727000,32308,31530185000,1.5993378819895085,1.5042369808647675,0.40612902951864893,1.4702818048677189,4524000,2.1583026237975478e-4,1175738000,0.05609191888369764,0.31985827703963876,0.6801417229603612,1037624.9535718707,0.07584243932851026
2014,Seltjarnarnesbær,A-hluti,1464194000,6237767000,2977806000,2858131000,85998000,295917000,4773573000,1578877000,368660000,422542000,406103000,4381,253977000,0.4917022801351062,0.08528997523680186,3.736615531710457,4.260205273344925,415592000,0.13956315488651713,501590000,0.16844280654952,0.7652695267392963,0.23473047326070373,334214.56288518605,0.1363765806100196
2014,Garðabær,A-hluti,9310780000,20423373000,9472384000,8935361000,543311000,-177608000,11112593000,1586219000,408030000,2086093000,1137385000,14180,8132591000,0.9829394585354648,0.8585579934259422,0.7603778930277797,2.1935190177407264,359415000,0.037943457528748836,902726000,0.09530082395308298,0.5441115431814324,0.4558884568185676,656613.5401974613,0.12007378501547235
2014,Hafnarfjarðarkaupstaður,A-hluti,33316282000,37846638000,17986467000,17206797000,624456000,-939054000,4530356000,1970309000,0,8172300000,779753000,27357,31345973000,1.8522971743144443,1.7427532043952823,0.24109601948044002,1.1359802393316276,-159384000,-0.008861328909118171,465072000,0.025856773317405803,0.11970299713279685,0.8802970028672031,1217833.8999159264,0.043352204743710925
2014,Mosfellsbær,A-hluti,9709748000,13191563000,6874306000,6755970000,270664000,-296001000,3481815000,739303000,44700000,2410882000,272176000,9075,9015145000,1.4124695642003717,1.3114262006957502,0.30665250310882075,1.3585896358999223,-177665000,-0.025844790732329925,92999000,0.01352849291259365,0.26394256692705786,0.7360574330729421,1069944.6831955924,0.039593233120550644
2013,Reykjavíkurborg,A-hluti,62204193000,147520212000,79757313000,76098951000,3573325000,-650640000,85316019000,19632053000,146774000,14041459000,6840172000,119764,42718914000,0.7799183630973124,0.5356112485885777,1.3981490812315158,2.3715477186562004,3007722000,0.037710924388839426,6581047000,0.08251339911614124,0.5783344386733934,0.4216655613266066,519389.7414916002,0.08576231749432181
2013,Kópavogsbær,A-hluti,32687194000,49226841000,20135635000,17650097000,1117451000,-1470706000,16539647000,2208676000,75271000,5060256000,1899649000,31726,30553789000,1.623350542458681,1.5173988304813828,0.4364751506643142,1.5059977616922395,1014832000,0.05039980114856075,2132283000,0.10589598987069442,0.3359883889360278,0.6640116110639722,1030296.7282355166,0.09434264178904712
2013,Seltjarnarnesbær,A-hluti,1529832000,6101120000,2788940000,2604402000,89926000,97265000,4571288000,1802227000,58476000,491034000,454105000,4322,-213919000,0.5485352858075111,-0.07670261819902902,3.6702692685231573,3.988098039523294,281803000,0.1010430486134517,371729000,0.13328684016149506,0.7492539074792824,0.25074609252071756,353963.9055992596,0.16282351000738632
2013,Garðabær,A-hluti,8843337000,19312681000,8940402000,8145969000,496701000,-294056000,10469344000,1606723000,209029000,1752756000,1288592000,13872,7445643000,0.989143105645585,0.8328085247173449,0.916683782568709,2.18386803533553,500377000,0.05596806497068029,997078000,0.11152496274776011,0.5420968740694262,0.4579031259305738,637495.4584775086,0.1441313265331917
2013,Hafnarfjarðarkaupstaður,A-hluti,33292272000,37995744000,17017845000,15605074000,611246000,-499237000,4703472000,2453291000,16230000,5754095000,1728265000,26808,30855211000,1.9563153854086694,1.8131091803926995,0.4263556649655593,1.1412781921281911,913534000,0.05368094491400057,1524780000,0.08959888869595416,0.1237894433650253,0.8762105566349747,1241878.2452999104,0.1015560430830108
